dup,data,Market,Station,Date,Time,Search Phrase,Closed Captions,Hits,Demographic,Minute Ratings,Quarter Hour Ratings,Minute Gains,Minute Losses
,,Boston (Manchester),WCVB,30-Dec-21,06:14 PM,fire, DOUG: SPEAKING WITH CAYCE‘S FIRE VOLUNTEER FIRE DEPARTMENT.,2,Males 55+,7.311,7.93,0,0.091
,,Boston (Manchester),WCVB,30-Dec-21,06:14 PM,fire, DOUG: SPEAKING WITH CAYCE‘S FIRE VOLUNTEER FIRE DEPARTMENT.,2,Persons 12-17,1.104,0.733,0,0
,,Boston (Manchester),WCVB,30-Dec-21,06:14 PM,fire, DOUG: SPEAKING WITH CAYCE‘S FIRE VOLUNTEER FIRE DEPARTMENT.,2,Persons 12-24,1.932,1.938,0,0.145
,,Boston (Manchester),WCVB,30-Dec-21,06:14 PM,fire, DOUG: SPEAKING WITH CAYCE‘S FIRE VOLUNTEER FIRE DEPARTMENT.,2,Persons 18-34,1.902,2.134,0,0.324
,,Boston (Manchester),WCVB,30-Dec-21,06:14 PM,fire, DOUG: SPEAKING WITH CAYCE‘S FIRE VOLUNTEER FIRE DEPARTMENT.,2,Persons 18-49,1.595,1.909,0,0.161
,,Boston (Manchester),WCVB,30-Dec-21,06:14 PM,fire, DOUG: SPEAKING WITH CAYCE‘S FIRE VOLUNTEER FIRE DEPARTMENT.,2,Persons 2+,4.213,4.92,0.115,0.103
,,Boston (Manchester),WCVB,30-Dec-21,06:14 PM,fire, DOUG: SPEAKING WITH CAYCE‘S FIRE VOLUNTEER FIRE DEPARTMENT.,2,Persons 2-11,1.773,2.461,0,0
,,Boston (Manchester),WCVB,30-Dec-21,06:14 PM,fire, DOUG: SPEAKING WITH CAYCE‘S FIRE VOLUNTEER FIRE DEPARTMENT.,2,Persons 25-34,1.3,1.464,0,0.375
,,Boston (Manchester),WCVB,30-Dec-21,06:14 PM,fire, DOUG: SPEAKING WITH CAYCE‘S FIRE VOLUNTEER FIRE DEPARTMENT.,2,Persons 25-49,1.296,1.61,0,0.13
,,Boston (Manchester),WCVB,30-Dec-21,06:14 PM,fire, DOUG: SPEAKING WITH CAYCE‘S FIRE VOLUNTEER FIRE DEPARTMENT.,2,Persons 25-54,1.977,2.354,0.032,0.103
,,Boston (Manchester),WCVB,30-Dec-21,06:14 PM,fire, DOUG: SPEAKING WITH CAYCE‘S FIRE VOLUNTEER FIRE DEPARTMENT.,2,Persons 35+,5.539,6.496,0.175,0.066
,,Boston (Manchester),WCVB,30-Dec-21,06:14 PM,fire, DOUG: SPEAKING WITH CAYCE‘S FIRE VOLUNTEER FIRE DEPARTMENT.,2,Persons 35-54,2.235,2.693,0.044,0
,,Boston (Manchester),WCVB,30-Dec-21,06:14 PM,fire, DOUG: SPEAKING WITH CAYCE‘S FIRE VOLUNTEER FIRE DEPARTMENT.,2,Persons 35-64,3.166,4.096,0.128,0.063
,,Boston (Manchester),WCVB,30-Dec-21,06:14 PM,fire, DOUG: SPEAKING WITH CAYCE‘S FIRE VOLUNTEER FIRE DEPARTMENT.,2,Persons 50+,7.235,8.416,0.245,0.093
,,Boston (Manchester),WCVB,30-Dec-21,06:14 PM,fire, DOUG: SPEAKING WITH CAYCE‘S FIRE VOLUNTEER FIRE DEPARTMENT.,2,Persons 55+,7.73,9.016,0.262,0.11
,,Boston (Manchester),WCVB,30-Dec-21,06:14 PM,fire, DOUG: SPEAKING WITH CAYCE‘S FIRE VOLUNTEER FIRE DEPARTMENT.,2,Persons 6-11,0,1.102,0,0
,,Salt Lake City,KTVX,30-Dec-21,06:14 PM,fire, Several small grass fire say the fire sparked from,2,Households,0.708,0.882,0,0
,,Charlotte,WSOC,30-Dec-21,06:14 PM,fire, CATCHING FIRE WITHOUT EVEN,1,Females 12-24,0.701,2.627,0,0
,,Charlotte,WSOC,30-Dec-21,06:14 PM,fire, CATCHING FIRE WITHOUT EVEN,1,Females 18-34,0.611,0.611,0,0
,,Charlotte,WSOC,30-Dec-21,06:14 PM,fire, CATCHING FIRE WITHOUT EVEN,1,Females 18-49,1.529,1.529,0,0
no,yes,Charlotte,WSOC,30-Dec-21,06:14 PM,fire, CATCHING FIRE WITHOUT EVEN,1,Females 25-49,1.575,1.575,0,0
,,Charlotte,WSOC,30-Dec-21,06:14 PM,fire, CATCHING FIRE WITHOUT EVEN,1,Females 25-54,2.447,3.314,0,0
,,Charlotte,WSOC,30-Dec-21,06:14 PM,fire, CATCHING FIRE WITHOUT EVEN,1,Females 35-54,3.323,4.5,0,0
,,Charlotte,WSOC,30-Dec-21,06:14 PM,fire, CATCHING FIRE WITHOUT EVEN,1,Females 50+,6.555,8.028,0.381,0.489
,,Charlotte,WSOC,30-Dec-21,06:14 PM,fire, CATCHING FIRE WITHOUT EVEN,1,Females 55+,6.719,7.643,0.459,0.589
,,Charlotte,WSOC,30-Dec-21,06:14 PM,fire, CATCHING FIRE WITHOUT EVEN,1,Households,6.016,6.089,0.235,0.424
,,Charlotte,WSOC,30-Dec-21,06:14 PM,fire, CATCHING FIRE WITHOUT EVEN,1,Males 12-24,2.084,2.731,0,0
,,Charlotte,WSOC,30-Dec-21,06:14 PM,fire, CATCHING FIRE WITHOUT EVEN,1,Males 18-34,0,0,0,0
,,Charlotte,WSOC,30-Dec-21,06:14 PM,fire, CATCHING FIRE WITHOUT EVEN,1,Males 18-49,0.844,0.927,0,0
,,Charlotte,WSOC,30-Dec-21,06:14 PM,fire, CATCHING FIRE WITHOUT EVEN,1,Males 25-49,1.096,1.205,0,0
,,Charlotte,WSOC,30-Dec-21,06:14 PM,fire, CATCHING FIRE WITHOUT EVEN,1,Males 25-54,0.866,0.952,0,0
,,Charlotte,WSOC,30-Dec-21,06:14 PM,fire, CATCHING FIRE WITHOUT EVEN,1,Males 35-54,1.185,1.303,0,0
,,Charlotte,WSOC,30-Dec-21,06:14 PM,fire, CATCHING FIRE WITHOUT EVEN,1,Males 50+,6.102,6.266,0,0.435
,,Charlotte,WSOC,30-Dec-21,06:14 PM,fire, CATCHING FIRE WITHOUT EVEN,1,Males 55+,7.477,7.678,0,0.532
,,Charlotte,WSOC,30-Dec-21,06:14 PM,fire, CATCHING FIRE WITHOUT EVEN,1,Persons 12-17,2.177,4.791,0,0
,,Charlotte,WSOC,30-Dec-21,06:14 PM,fire, CATCHING FIRE WITHOUT EVEN,1,Persons 12-24,1.405,2.68,0,0
,,Charlotte,WSOC,30-Dec-21,06:14 PM,fire, CATCHING FIRE WITHOUT EVEN,1,Persons 18-34,0.308,0.308,0,0
,,Charlotte,WSOC,30-Dec-21,06:14 PM,fire, CATCHING FIRE WITHOUT EVEN,1,Persons 18-49,1.195,1.235,0,0
,,Charlotte,WSOC,30-Dec-21,06:14 PM,fire, CATCHING FIRE WITHOUT EVEN,1,Persons 2+,3.464,4.065,0.089,0.203
,,Charlotte,WSOC,30-Dec-21,06:14 PM,fire, CATCHING FIRE WITHOUT EVEN,1,Persons 2-11,0.607,0.607,0,0
,,Charlotte,WSOC,30-Dec-21,06:14 PM,fire, CATCHING FIRE WITHOUT EVEN,1,Persons 25-34,0,0,0,0
,,Charlotte,WSOC,30-Dec-21,06:14 PM,fire, CATCHING FIRE WITHOUT EVEN,1,Persons 25-49,1.344,1.396,0,0
,,Charlotte,WSOC,30-Dec-21,06:14 PM,fire, CATCHING FIRE WITHOUT EVEN,1,Persons 25-54,1.684,2.173,0,0
,,Charlotte,WSOC,30-Dec-21,06:14 PM,fire, CATCHING FIRE WITHOUT EVEN,1,Persons 35+,5.02,5.643,0.141,0.321
,,Charlotte,WSOC,30-Dec-21,06:14 PM,fire, CATCHING FIRE WITHOUT EVEN,1,Persons 35-54,2.295,2.962,0,0
,,Charlotte,WSOC,30-Dec-21,06:14 PM,fire, CATCHING FIRE WITHOUT EVEN,1,Persons 35-64,3.124,3.605,0,0
,,Charlotte,WSOC,30-Dec-21,06:14 PM,fire, CATCHING FIRE WITHOUT EVEN,1,Persons 50+,6.344,7.209,0.204,0.464
,,Charlotte,WSOC,30-Dec-21,06:14 PM,fire, CATCHING FIRE WITHOUT EVEN,1,Persons 55+,7.068,7.659,0.248,0.563
,,Charlotte,WSOC,30-Dec-21,06:14 PM,fire, CATCHING FIRE WITHOUT EVEN,1,Persons 6-11,0.973,0.973,0,0
,,Tampa-St. Pete (Sarasota),WFTS,30-Dec-21,06:14 PM,fire," ACTUALLY PUT OUT THE FIRE APARTMENTS. THE FIRE FIRE, HOW MANY OF THE INJURED HOSPITAL AFTER A FIRE AT AN",4,Females 12-24,0.857,0.857,0,0
,,Tampa-St. Pete (Sarasota),WFTS,30-Dec-21,06:14 PM,fire," ACTUALLY PUT OUT THE FIRE APARTMENTS. THE FIRE FIRE, HOW MANY OF THE INJURED HOSPITAL AFTER A FIRE AT AN",4,Females 18-34,0,0,0,0
,,Tampa-St. Pete (Sarasota),WFTS,30-Dec-21,06:14 PM,fire," ACTUALLY PUT OUT THE FIRE APARTMENTS. THE FIRE FIRE, HOW MANY OF THE INJURED HOSPITAL AFTER A FIRE AT AN",4,Females 18-49,0.217,0.217,0,0
no,yes,Tampa-St. Pete (Sarasota),WFTS,30-Dec-21,06:14 PM,fire," ACTUALLY PUT OUT THE FIRE APARTMENTS. THE FIRE FIRE, HOW MANY OF THE INJURED HOSPITAL AFTER A FIRE AT AN",4,Females 25-49,0.274,0.273,0,0
,,Tampa-St. Pete (Sarasota),WFTS,30-Dec-21,06:14 PM,fire," ACTUALLY PUT OUT THE FIRE APARTMENTS. THE FIRE FIRE, HOW MANY OF THE INJURED HOSPITAL AFTER A FIRE AT AN",4,Females 25-54,0.393,0.393,0,0
